,GDP,TENYR
2019-03-24,21111.6,3.09
2019-03-25,21111.6,3.09
2019-03-26,21111.6,3.09
2019-03-27,21111.6,3.09
2019-03-28,21111.6,3.09
2019-03-29,21111.6,3.09
2019-03-30,21111.6,3.09
2019-03-31,21111.6,3.09
2019-04-01,21397.938,2.49
2019-04-02,21397.938,2.49
2019-04-03,21397.938,2.49
2019-04-04,21397.938,2.49
2019-04-05,21397.938,2.49
2019-04-06,21397.938,2.49
2019-04-07,21397.938,2.49
2019-04-08,21397.938,2.49
2019-04-09,21397.938,2.49
2019-04-10,21397.938,2.49
2019-04-11,21397.938,2.49
2019-04-12,21397.938,2.49
2019-04-13,21397.938,2.49
2019-04-14,21397.938,2.49
2019-04-15,21397.938,2.49
2019-04-16,21397.938,2.49
2019-04-17,21397.938,2.49
2019-04-18,21397.938,2.49
2019-04-19,21397.938,2.49
2019-04-20,21397.938,2.49
2019-04-21,21397.938,2.49
2019-04-22,21397.938,2.49
2019-04-23,21397.938,2.49
2019-04-24,21397.938,2.49
2019-04-25,21397.938,2.49
2019-04-26,21397.938,2.49
2019-04-27,21397.938,2.49
2019-04-28,21397.938,2.49
2019-04-29,21397.938,2.49
2019-04-30,21397.938,2.49
2019-05-01,21397.938,2.49
2019-05-02,21397.938,2.49
2019-05-03,21397.938,2.49
2019-05-04,21397.938,2.49
2019-05-05,21397.938,2.49
2019-05-06,21397.938,2.49
2019-05-07,21397.938,2.49
2019-05-08,21397.938,2.49
2019-05-09,21397.938,2.49
2019-05-10,21397.938,2.49
2019-05-11,21397.938,2.49
2019-05-12,21397.938,2.49
2019-05-13,21397.938,2.49
2019-05-14,21397.938,2.49
2019-05-15,21397.938,2.49
2019-05-16,21397.938,2.49
2019-05-17,21397.938,2.49
2019-05-18,21397.938,2.49
2019-05-19,21397.938,2.49
2019-05-20,21397.938,2.49
2019-05-21,21397.938,2.49
2019-05-22,21397.938,2.49
2019-05-23,21397.938,2.49
2019-05-24,21397.938,2.49
2019-05-25,21397.938,2.49
2019-05-26,21397.938,2.49
2019-05-27,21397.938,2.49
2019-05-28,21397.938,2.49
2019-05-29,21397.938,2.49
2019-05-30,21397.938,2.49
2019-05-31,21397.938,2.49
2019-06-01,21397.938,2.49
2019-06-02,21397.938,2.49
2019-06-03,21397.938,2.49
2019-06-04,21397.938,2.49
2019-06-05,21397.938,2.49
2019-06-06,21397.938,2.49
2019-06-07,21397.938,2.49
2019-06-08,21397.938,2.49
2019-06-09,21397.938,2.49
2019-06-10,21397.938,2.49
2019-06-11,21397.938,2.49
2019-06-12,21397.938,2.49
2019-06-13,21397.938,2.49
2019-06-14,21397.938,2.49
2019-06-15,21397.938,2.49
2019-06-16,21397.938,2.49
2019-06-17,21397.938,2.49
2019-06-18,21397.938,2.49
2019-06-19,21397.938,2.49
2019-06-20,21397.938,2.49
2019-06-21,21397.938,2.49
2019-06-22,21397.938,2.49
2019-06-23,21397.938,2.49
2019-06-24,21397.938,2.49
2019-06-25,21397.938,2.49
2019-06-26,21397.938,2.49
2019-06-27,21397.938,2.49
2019-06-28,21397.938,2.49
2019-06-29,21397.938,2.49
2019-06-30,21397.938,2.49
2019-07-01,21717.171,2.03
2019-07-02,21717.171,2.03
2019-07-03,21717.171,2.03
2019-07-04,21717.171,2.03
2019-07-05,21717.171,2.03
2019-07-06,21717.171,2.03
2019-07-07,21717.171,2.03
2019-07-08,21717.171,2.03
2019-07-09,21717.171,2.03
2019-07-10,21717.171,2.03
2019-07-11,21717.171,2.03
2019-07-12,21717.171,2.03
2019-07-13,21717.171,2.03
2019-07-14,21717.171,2.03
2019-07-15,21717.171,2.03
2019-07-16,21717.171,2.03
2019-07-17,21717.171,2.03
2019-07-18,21717.171,2.03
2019-07-19,21717.171,2.03
2019-07-20,21717.171,2.03
2019-07-21,21717.171,2.03
2019-07-22,21717.171,2.03
2019-07-23,21717.171,2.03
2019-07-24,21717.171,2.03
2019-07-25,21717.171,2.03
2019-07-26,21717.171,2.03
