Date,AAPL,NVDA,PFE,TSLA,TTWO,XOM
2018-01-02,40.524349212646484,4.9298810958862305,25.982751846313477,21.368667602539062,112.87999725341797,61.13519287109375
2018-01-03,40.51728057861328,5.254336833953857,26.175273895263672,21.149999618530273,113.87999725341797,62.33588790893555
2018-01-04,40.70549774169922,5.282033920288086,26.232311248779297,20.974666595458984,114.0199966430664,62.422176361083984
2018-01-05,41.16892623901367,5.32679557800293,26.282224655151367,21.10533332824707,116.91000366210938,62.3718376159668
2018-01-08,41.01601791381836,5.490010738372803,25.98987579345703,22.42733383178711,117.37000274658203,62.652252197265625
2018-01-09,41.011314392089844,5.488527297973633,25.961362838745117,22.246000289916992,114.91000366210938,62.386226654052734
2018-01-10,41.001914978027344,5.53155517578125,26.004140853881836,22.31999969482422,115.55000305175781,61.890106201171875
2018-01-11,41.234806060791016,5.541447639465332,26.068313598632812,22.530000686645508,116.9800033569336,62.50126647949219
2018-01-12,41.66060256958008,5.514244556427002,26.054048538208008,22.4146671295166,117.30000305175781,62.92546844482422
2018-01-16,41.448883056640625,5.443272113800049,26.096834182739258,22.67066764831543,113.95999908447266,62.530029296875
2018-01-17,42.13345718383789,5.557275772094727,26.510387420654297,23.143999099731445,116.08999633789062,63.27058410644531
2018-01-18,42.171104431152344,5.550350666046143,26.37491798400879,22.971332550048828,117.2699966430664,62.860748291015625
2018-01-19,41.98289489746094,5.690568923950195,26.339258193969727,23.334667205810547,118.05000305175781,62.65943908691406
2018-01-22,41.639434814453125,5.779101848602295,26.33213233947754,23.437332153320312,118.4000015258789,63.45032501220703
2018-01-23,41.64884948730469,5.908190727233887,26.253698348999023,23.519332885742188,116.80999755859375,63.486270904541016
2018-01-24,40.98543930053711,5.831281661987305,26.33213233947754,23.05933380126953,116.23999786376953,63.65162658691406
2018-01-25,40.253807067871094,5.844882011413574,26.54604148864746,22.50933265686035,117.19999694824219,63.53658676147461
2018-01-26,40.347904205322266,6.017497539520264,27.815235137939453,22.856666564941406,119.37000274658203,63.98955535888672
2018-01-29,39.51277160644531,6.1045451164245605,27.822359085083008,23.302000045776367,119.29000091552734,63.27777099609375
2018-01-30,39.27985382080078,6.002411842346191,26.952463150024414,23.05466651916504,118.30999755859375,62.39340591430664
2018-01-31,39.388084411621094,6.078579425811768,26.410566329956055,23.62066650390625,126.66999816894531,62.76728439331055
2018-02-01,39.47041702270508,5.947511196136475,26.504119873046875,23.28333282470703,124.63999938964844,64.03988647460938
2018-02-02,37.757781982421875,5.774896621704102,26.345800399780273,22.916667938232422,121.66999816894531,60.77570724487305
2018-02-05,36.81444549560547,5.284753799438477,24.949708938598633,22.208667755126953,117.33000183105469,57.31739044189453
2018-02-06,38.35297393798828,5.578543663024902,25.388681411743164,22.264667510986328,118.2699966430664,56.3323860168457
2018-02-07,37.531959533691406,5.658172607421875,25.172794342041016,23.0,117.19000244140625,55.318607330322266
2018-02-08,36.49919891357422,5.3792219161987305,24.2012939453125,21.01533317565918,103.51000213623047,54.69310760498047
2018-02-09,36.945648193359375,5.73928689956665,24.582693099975586,20.69466781616211,108.44999694824219,55.041744232177734
2018-02-12,38.43376159667969,5.639130592346191,24.94251251220703,21.048667907714844,109.93000030517578,55.506595611572266
2018-02-13,38.818782806396484,5.7528886795043945,25.144014358520508,21.577333450317383,107.77999877929688,55.41943359375
2018-02-14,39.53450012207031,5.97026252746582,25.32392120361328,21.487333297729492,106.55999755859375,55.53563690185547
2018-02-15,40.86200714111328,6.095890045166016,25.69812774658203,22.271333694458008,108.16000366210938,55.35405731201172
2018-02-16,40.72971725463867,6.030108451843262,26.093929290771484,22.365999221801758,107.04000091552734,55.5937614440918
2018-02-20,40.592716217041016,6.159691333770752,25.914011001586914,22.31800079345703,107.4800033569336,55.01995086669922
2018-02-21,40.40847396850586,5.972487926483154,25.734115600585938,22.219999313354492,108.54000091552734,54.39529037475586
2018-02-22,40.74626541137695,5.992037773132324,25.71971893310547,23.077999114990234,108.62999725341797,55.099849700927734
2018-02-23,41.454898834228516,6.085573673248291,26.093929290771484,23.469999313354492,111.6500015258789,56.312828063964844
2018-02-26,42.27454376220703,6.101658821105957,26.691226959228516,23.827999114990234,114.58000183105469,57.26430892944336
2018-02-27,42.13753128051758,6.0887908935546875,26.48253631591797,23.39933204650879,112.2300033569336,56.291038513183594
2018-02-28,42.07375717163086,5.988326072692871,26.129911422729492,22.87066650390625,111.87000274658203,55.01268768310547
2018-03-01,41.3367805480957,5.7460713386535645,25.640554428100586,22.062000274658203,107.54000091552734,54.62044906616211
2018-03-02,41.62260437011719,5.853216648101807,25.870847702026367,22.341333389282227,110.7699966430664,54.87468719482422
2018-03-05,41.766693115234375,5.8311944007873535,25.993183135986328,22.22333335876465,111.93000030517578,55.39764404296875
2018-03-06,41.731258392333984,5.992283344268799,25.820465087890625,21.8799991607666,110.70999908447266,55.33226776123047
2018-03-07,41.3438720703125,5.984366416931152,25.8564510345459,22.15333366394043,110.94000244140625,53.93771743774414
2018-03-08,41.7950439453125,5.9680352210998535,26.266645431518555,21.940000534057617,113.58000183105469,53.83602523803711
2018-03-09,42.51311111450195,6.0707268714904785,26.4609432220459,21.81133270263672,116.61000061035156,54.15561294555664
2018-03-12,42.924110412597656,6.180347442626953,26.345800399780273,23.034000396728516,115.73999786376953,54.64950942993164
2018-03-13,42.51074981689453,6.129619598388672,26.44654083251953,22.78933334350586,113.48999786376953,54.133811950683594
2018-03-14,42.14935302734375,6.155107498168945,26.15869140625,21.775333404541016,109.2300033569336,53.45832443237305
